,code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
0,3,0,,1,0,Arsenal,0,0,0,ARS,,,False,0,0,0,0,0,0,0,1
1,7,0,,2,0,Aston Villa,0,0,0,AVL,,,False,0,0,0,0,0,0,0,2
2,36,0,,3,0,Brighton,0,0,0,BHA,,,False,0,0,0,0,0,0,0,131
3,90,0,,4,0,Burnley,0,0,0,BUR,,,False,0,0,0,0,0,0,0,43
4,8,0,,5,0,Chelsea,0,0,0,CHE,,,False,0,0,0,0,0,0,0,4
5,31,0,,6,0,Crystal Palace,0,0,0,CRY,,,False,0,0,0,0,0,0,0,6
6,11,0,,7,0,Everton,0,0,0,EVE,,,False,0,0,0,0,0,0,0,7
7,54,0,,8,0,Fulham,0,0,0,FUL,,,False,0,0,0,0,0,0,0,34
8,13,0,,9,0,Leicester,0,0,0,LEI,,,False,0,0,0,0,0,0,0,26
9,2,0,,10,0,Leeds,0,0,0,LEE,,,False,0,0,0,0,0,0,0,9
10,14,0,,11,0,Liverpool,0,0,0,LIV,,,False,0,0,0,0,0,0,0,10
11,43,0,,12,0,Man City,0,0,0,MCI,,,False,0,0,0,0,0,0,0,11
12,1,0,,13,0,Man Utd,0,0,0,MUN,,,False,0,0,0,0,0,0,0,12
13,4,0,,14,0,Newcastle,0,0,0,NEW,,,False,0,0,0,0,0,0,0,23
14,49,0,,15,0,Sheffield Utd,0,0,0,SHU,,,False,0,0,0,0,0,0,0,18
15,20,0,,16,0,Southampton,0,0,0,SOU,,,False,0,0,0,0,0,0,0,20
16,6,0,,17,0,Spurs,0,0,0,TOT,,,False,0,0,0,0,0,0,0,21
17,35,0,,18,0,West Brom,0,0,0,WBA,,,False,0,0,0,0,0,0,0,36
18,21,0,,19,0,West Ham,0,0,0,WHU,,,False,0,0,0,0,0,0,0,25
19,39,0,,20,0,Wolves,0,0,0,WOL,,,False,0,0,0,0,0,0,0,38
