id,team_h_difficulty,team_a_difficulty
1,2,5
8,4,2
2,3,2
3,3,3
4,2,3
7,2,3
6,2,4
5,4,3
10,3,2
9,4,4
11,3,4
12,2,2
13,2,2
15,2,4
17,2,2
19,4,2
16,3,4
18,3,3
14,3,4
20,4,3
21,2,2
26,4,2
23,3,2
25,3,4
27,3,3
29,2,3
24,3,5
22,4,2
28,2,4
30,3,3
39,4,2
33,3,4
34,2,3
36,2,3
37,2,4
38,2,2
40,2,2
32,4,3
35,4,4
31,3,4
44,2,5
43,3,2
45,3,4
47,3,3
48,3,4
50,4,3
46,4,2
42,2,2
49,3,3
41,2,2
59,2,2
56,3,3
52,2,3
55,3,4
57,2,4
58,2,2
54,4,3
60,4,2
51,2,4
53,4,4
68,4,3
61,3,2
62,2,2
63,2,4
64,2,3
69,3,4
70,2,3
65,4,4
66,2,3
67,3,4
72,3,2
73,2,3
74,3,5
77,2,2
79,3,3
80,3,2
71,2,4
75,4,4
78,4,2
76,4,2
85,2,4
81,2,2
82,2,2
83,2,4
86,3,3
89,2,4
90,3,3
84,4,3
87,4,4
88,3,3
98,3,2
95,2,4
92,2,2
99,2,3
100,3,2
93,4,3
96,4,2
91,3,4
94,3,5
97,4,2
103,4,2
101,4,4
102,4,2
104,2,2
107,3,4
108,3,3
110,2,2
109,4,3
105,3,3
106,3,4
117,2,2
112,3,4
111,2,3
116,2,2
118,2,2
119,3,4
113,3,3
115,2,4
120,2,3
114,4,5
130,3,2
121,3,4
123,4,2
124,3,2
125,4,3
126,2,4
129,3,3
127,4,4
128,4,3
122,2,2
136,4,2
131,3,3
132,2,4
134,2,5
139,2,4
138,2,2
137,3,2
140,3,3
133,2,3
135,2,4
148,2,3
142,4,3
147,2,4
143,2,3
144,3,4
150,2,2
146,2,3
149,2,5
145,2,3
141,2,4
154,4,4
152,4,2
158,3,4
159,3,3
155,4,4
151,3,2
156,3,2
157,3,2
153,4,2
160,3,2
166,2,5
162,2,3
163,2,4
165,2,3
168,2,3
169,2,2
167,2,4
170,3,3
161,4,4
164,2,3
174,3,4
171,3,2
172,3,2
173,3,2
176,3,2
177,4,2
175,3,4
179,4,3
178,4,4
189,2,4
181,2,2
182,3,2
183,3,4
184,2,3
185,3,4
188,2,3
187,2,4
186,4,3
190,4,3
192,2,2
196,2,2
198,3,2
199,2,3
197,3,2
200,3,2
193,4,3
191,4,4
194,4,5
195,3,4
202,4,2
203,2,3
206,3,2
208,3,2
209,4,3
205,2,4
207,3,2
210,2,2
201,4,4
204,3,5
218,2,3
214,3,3
213,3,4
215,2,4
216,3,3
217,2,4
220,2,3
219,4,4
212,2,2
211,4,2
229,3,3
221,3,4
222,2,2
225,3,4
227,2,2
228,4,2
230,2,2
226,4,2
223,3,3
224,4,5
231,2,2
232,2,2
239,3,3
233,2,4
236,4,3
238,3,4
234,2,3
240,2,4
235,3,4
237,4,3
180,4,2
244,4,3
241,2,2
243,3,3
245,3,5
247,2,2
249,2,3
250,2,2
246,4,4
242,3,3
248,4,4
255,3,4
253,2,2
258,2,3
260,3,3
259,3,2
257,4,2
252,3,2
251,2,4
254,4,4
256,2,4
263,3,4
262,2,3
264,2,3
268,2,3
269,2,2
265,4,3
267,2,4
270,2,3
261,2,4
266,2,5
277,3,2
273,3,2
272,4,2
276,3,2
280,3,2
279,4,3
274,4,4
278,4,4
286,2,5
281,2,4
284,2,3
288,2,3
289,2,2
290,2,3
282,3,3
283,2,4
287,4,4
285,2,3
271,3,2
275,3,4
297,3,2
298,4,4
299,3,3
293,3,2
300,4,2
292,3,2
296,3,2
291,4,2
294,4,4
295,3,4
303,2,3
309,2,4
305,3,4
306,2,2
307,2,2
310,2,3
304,3,5
301,2,3
308,3,2
302,4,4
312,4,2
319,3,3
315,3,3
314,4,2
311,2,4
313,2,2
316,3,4
320,4,2
318,3,3
317,4,4
327,2,2
323,3,3
325,2,4
330,3,3
322,2,4
321,3,3
326,2,2
324,2,5
328,4,2
329,2,4
335,4,3
339,2,3
331,3,4
337,2,4
338,4,3
340,3,2
334,4,2
333,3,2
336,3,4
332,4,2
346,2,2
349,2,3
344,3,5
347,4,3
343,4,2
350,2,3
341,3,2
348,3,4
342,3,2
345,3,4
353,2,4
352,4,3
357,2,4
358,3,2
351,4,4
355,2,4
356,3,3
354,4,3
359,2,2
360,2,2
366,3,2
362,3,2
368,3,4
363,2,2
367,2,3
370,3,3
369,4,3
361,3,2
365,2,4
364,4,5
371,2,4
372,2,3
373,4,4
374,3,3
375,2,4
376,4,3
377,2,4
378,4,2
379,3,2
380,2,2
